Date,GEO,Sex,Characteristics,Estimates,UOM,VALUE
2017/2018,New Brunswick,Females,"Highest income, household income",Percentage of persons,Percent,44.8
2017/2018,New Brunswick,Females,"Highest income, household income","Low 95% confidence interval, percentage",Percent,39
2017/2018,New Brunswick,Females,"Highest income, household income","High 95% confidence interval, percentage",Percent,50.8
2017/2018,New Brunswick,Females,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,5100
2017/2018,New Brunswick,Females,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,31
2017/2018,New Brunswick,Females,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,19.5
2017/2018,New Brunswick,Females,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,45.3
2017/2018,New Brunswick,Females,"Non-immigrants, immigrant status",Number of persons,Number,141900
2017/2018,New Brunswick,Females,"Non-immigrants, immigrant status",Percentage of persons,Percent,48.5
2017/2018,New Brunswick,Females,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,45.4
2017/2018,New Brunswick,Females,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,51.6
2017/2018,New Brunswick,Females,"Visible minority, visible minority or Indigenous",Number of persons,Number,
2017/2018,New Brunswick,Females,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,
2017/2018,New Brunswick,Females,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,
2017/2018,New Brunswick,Females,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,
2017/2018,New Brunswick,Females,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,4300
2017/2018,New Brunswick,Females,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,48.7
2017/2018,New Brunswick,Females,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,30.9
2017/2018,New Brunswick,Females,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,66.8
2017/2018,New Brunswick,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,138400
2017/2018,New Brunswick,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,48.4
2017/2018,New Brunswick,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,45.2
2017/2018,New Brunswick,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,51.7
2017/2018,New Brunswick,Females,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,New Brunswick,Females,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,New Brunswick,Females,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,New Brunswick,Females,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Quebec,Both sexes,"Total, selected characteristics",Number of persons,Number,2488300
2017/2018,Quebec,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,37.1
2017/2018,Quebec,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,36.2
2017/2018,Quebec,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,38
2017/2018,Quebec,Both sexes,"High school or less, household education",Number of persons,Number,683000
2017/2018,Quebec,Both sexes,"High school or less, household education",Percentage of persons,Percent,50.7
2017/2018,Quebec,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,48.7
2017/2018,Quebec,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,52.6
2017/2018,Quebec,Both sexes,"At least post-secondary education, household education",Number of persons,Number,1670900
2017/2018,Quebec,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,33.1
2017/2018,Quebec,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,32
2017/2018,Quebec,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,34.1
2017/2018,Quebec,Both sexes,"Lowest income, household income",Number of persons,Number,911500
2017/2018,Quebec,Both sexes,"Lowest income, household income",Percentage of persons,Percent,40.7
2017/2018,Quebec,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,39.1
2017/2018,Quebec,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,42.4
2017/2018,Quebec,Both sexes,"Middle income, household income",Number of persons,Number,828800
2017/2018,Quebec,Both sexes,"Middle income, household income",Percentage of persons,Percent,37
2017/2018,Quebec,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,35.4
2017/2018,Quebec,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,38.7
2017/2018,Quebec,Both sexes,"Highest income, household income",Number of persons,Number,748100
2017/2018,Quebec,Both sexes,"Highest income, household income",Percentage of persons,Percent,33.4
2017/2018,Quebec,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,31.8
2017/2018,Quebec,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,35.1
2017/2018,Quebec,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,331100
2017/2018,Quebec,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,29.1
2017/2018,Quebec,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,26.7
2017/2018,Quebec,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,31.6
2017/2018,Quebec,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,2157300
2017/2018,Quebec,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,38.7
2017/2018,Quebec,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,37.7
2017/2018,Quebec,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,39.7
2017/2018,Quebec,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,202100
2017/2018,Quebec,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,24.7
2017/2018,Quebec,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,21.9
2017/2018,Quebec,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,27.7
2017/2018,Quebec,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,53900
2017/2018,Quebec,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,44.6
2017/2018,Quebec,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,38.4
2017/2018,Quebec,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,50.9
2017/2018,Quebec,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,2212300
2017/2018,Quebec,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,38.8
2017/2018,Quebec,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,37.9
2017/2018,Quebec,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,39.8
2017/2018,Quebec,Both sexes,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Quebec,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Quebec,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Quebec,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Quebec,Males,"Total, selected characteristics",Number of persons,Number,1253200
2017/2018,Quebec,Males,"Total, selected characteristics",Percentage of persons,Percent,37.7
2017/2018,Quebec,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,36.5
2017/2018,Quebec,Males,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,39
2017/2018,Quebec,Males,"High school or less, household education",Number of persons,Number,300500
2017/2018,Quebec,Males,"High school or less, household education",Percentage of persons,Percent,48.6
2017/2018,Quebec,Males,"High school or less, household education","Low 95% confidence interval, percentage",Percent,45.6
2017/2018,Quebec,Males,"High school or less, household education","High 95% confidence interval, percentage",Percent,51.6
2017/2018,Quebec,Males,"At least post-secondary education, household education",Number of persons,Number,883300
2017/2018,Quebec,Males,"At least post-secondary education, household education",Percentage of persons,Percent,34.8
2017/2018,Quebec,Males,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,33.3
2017/2018,Quebec,Males,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,36.2
2017/2018,Quebec,Males,"Lowest income, household income",Number of persons,Number,392700
2017/2018,Quebec,Males,"Lowest income, household income",Percentage of persons,Percent,39.3
2017/2018,Quebec,Males,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,37
